"","choice","alt","cost","time","chid"
"117.car",FALSE,"car",6.3233326,57.372668,117
"117.carpool",FALSE,"carpool",1.7943434,57.770816,117
"117.rail",TRUE,"rail",1.869652,26.833467,117
"118.bus",FALSE,"bus",1.9655635,34.527382,118
"118.car",FALSE,"car",5.0739588,53.179888,118
"118.carpool",FALSE,"carpool",2.5899448,50.032521,118
"118.rail",TRUE,"rail",1.7273045,19.076382,118
"119.bus",FALSE,"bus",2.0380754,44.37505,119
"119.car",TRUE,"car",5.2199742,51.024935,119
"119.carpool",FALSE,"carpool",2.4936069,52.387122,119
"119.rail",FALSE,"rail",2.1958746,60.170324,119
"120.bus",FALSE,"bus",1.9487009,12.876084,120
"120.car",TRUE,"car",4.2057357,37.337873,120
"120.carpool",FALSE,"carpool",2.852315,42.464676,120
"120.rail",FALSE,"rail",2.0545277,14.13993,120
"121.bus",FALSE,"bus",1.6174581,6.0884675,121
"121.car",TRUE,"car",4.9994435,15.347346,121
"121.carpool",FALSE,"carpool",2.4602599,21.859814,121
"121.rail",FALSE,"rail",2.1643552,38.045198,121
"122.bus",TRUE,"bus",1.7268061,12.336163,122
"122.car",FALSE,"car",2.9595504,7.7810373,122
"122.carpool",FALSE,"carpool",3.0242535,13.445752,122
"122.rail",FALSE,"rail",1.8839974,35.23287,122
"123.bus",FALSE,"bus",1.8569504,41.473523,123
"123.car",TRUE,"car",4.8900511,33.448273,123
"123.carpool",FALSE,"carpool",2.5794543,35.037247,123
"123.rail",FALSE,"rail",1.9535347,56.748719,123
"124.bus",FALSE,"bus",2.6590344,58.831838,124
"124.car",TRUE,"car",4.4970543,3.8063966,124
"124.carpool",FALSE,"carpool",2.6389084,9.0899497,124
"124.rail",FALSE,"rail",2.9727861,43.328065,124
"125.bus",FALSE,"bus",2.4757898,48.297146,125
"125.car",FALSE,"car",7.3641596,39.586666,125
"125.carpool",FALSE,"carpool",1.6774596,38.751234,125
"125.rail",TRUE,"rail",1.9970461,28.424662,125
"126.bus",TRUE,"bus",2.2561024,40.346663,126
"126.car",FALSE,"car",6.1813248,32.021358,126
"126.carpool",FALSE,"carpool",0.2654417,39.771315,126
"126.rail",FALSE,"rail",2.3313025,47.430088,126
"127.bus",FALSE,"bus",2.0530334,64.342723,127
"127.car",TRUE,"car",6.7426313,32.706833,127
"127.carpool",FALSE,"carpool",0.53979935,36.759675,127
"127.rail",FALSE,"rail",2.487805,34.117746,127
"128.bus",FALSE,"bus",2.3327247,32.967358,128
"128.car",TRUE,"car",4.92677,13.209001,128
"128.carpool",FALSE,"carpool",2.276093,17.903232,128
"128.rail",FALSE,"rail",2.097566,30.961161,128
"129.bus",FALSE,"bus",1.3246713,10.685662,129
"129.car",TRUE,"car",1.0907686,15.057227,129
"129.carpool",FALSE,"carpool",1.1677956,21.710019,129
"129.rail",FALSE,"rail",1.9678066,25.66723,129
"130.bus",TRUE,"bus",1.7206747,15.26673,130
"130.car",FALSE,"car",7.8095404,48.683796,130
"130.carpool",FALSE,"carpool",2.6004437,45.254502,130
"130.rail",FALSE,"rail",2.4694047,47.082883,130
"131.bus",FALSE,"bus",2.011029,47.703435,131
"131.car",TRUE,"car",4.725047,33.364544,131
"131.carpool",FALSE,"carpool",1.4154863,32.531535,131
"131.rail",FALSE,"rail",2.6896624,61.866312,131
"132.bus",FALSE,"bus",2.0240352,39.474958,132
"132.car",FALSE,"car",6.5330872,59.202323,132
"132.carpool",FALSE,"carpool",3.0126921,59.730485,132
"132.rail",TRUE,"rail",1.9130321,32.280908,132
"133.bus",FALSE,"bus",2.6223338,64.207198,133
"133.car",FALSE,"car",6.2297254,49.590105,133
"133.carpool",FALSE,"carpool",0.74172225,50.451453,133
"133.rail",TRUE,"rail",2.2398197,52.913876,133
"134.bus",FALSE,"bus",2.1765277,34.081087,134
"134.car",TRUE,"car",3.0307144,21.217213,134
"134.carpool",FALSE,"carpool",0.71066988,28.780185,134
"134.rail",FALSE,"rail",2.3672418,52.862611,134
"135.bus",FALSE,"bus",1.5584866,12.461274,135
"135.car",TRUE,"car",1.7661093,8.2027451,135
"135.carpool",FALSE,"carpool",2.5581837,11.851524,135
"135.rail",FALSE,"rail",1.4735609,22.320062,135
"136.bus",FALSE,"bus",1.8469406,47.810592,136
"136.car",FALSE,"car",6.3249643,41.556452,136
"136.carpool",FALSE,"carpool",2.316467,44.869465,136
"136.rail",TRUE,"rail",2.3444896,42.95882,136
"137.bus",TRUE,"bus",1.2888044,16.433155,137
"137.car",FALSE,"car",5.8010899,61.223681,137
"137.carpool",FALSE,"carpool",1.7968333,54.812425,137
"137.rail",FALSE,"rail",1.3282857,44.473115,137
"138.bus",FALSE,"bus",1.3451212,18.79323,138
"138.car",FALSE,"car",7.7836881,55.286977,138
"138.carpool",FALSE,"carpool",2.6466366,49.661756,138
"138.rail",TRUE,"rail",1.543413,12.406467,138
"139.bus",FALSE,"bus",1.7812904,40.281042,139
"139.car",TRUE,"car",2.3918377,17.596714,139
"139.carpool",FALSE,"carpool",2.845694,26.808633,139
"139.rail",FALSE,"rail",2.1542384,42.977474,139
"140.bus",FALSE,"bus",2.6702567,55.246417,140
"140.car",TRUE,"car",4.9959624,7.893517,140
"140.carpool",FALSE,"carpool",0.72777628,12.545654,140
"140.rail",FALSE,"rail",3.0318711,36.058551,140
"141.bus",FALSE,"bus",1.9613379,32.353704,141
"141.car",FALSE,"car",6.6964371,58.774024,141
"141.carpool",FALSE,"carpool",0.62155371,58.991052,141
"141.rail",TRUE,"rail",2.3307442,23.889733,141
"142.bus",FALSE,"bus",2.5277371,69.606045,142
"142.car",FALSE,"car",6.4688374,54.783576,142
"142.carpool",FALSE,"carpool",2.1715762,51.81874,142
"142.rail",TRUE,"rail",2.1853681,47.347733,142
"143.bus",FALSE,"bus",1.6291898,20.989454,143
"143.car",TRUE,"car",5.342067,9.3462919,143
"143.carpool",FALSE,"carpool",3.0760105,22.203606,143
"143.rail",FALSE,"rail",2.0211795,43.680466,143
"144.bus",TRUE,"bus",1.8332771,11.817162,144
"144.car",FALSE,"car",4.6995201,43.829592,144
"144.carpool",FALSE,"carpool",3.1389333,46.053741,144
"144.rail",FALSE,"rail",1.9227537,28.359179,144
"145.bus",FALSE,"bus",2.5164511,64.422725,145
"145.car",FALSE,"car",5.4293029,44.148421,145
"145.carpool",FALSE,"carpool",2.0949201,48.698416,145
"145.rail",TRUE,"rail",2.011303,62.768524,145
"146.bus",FALSE,"bus",1.7356683,37.654433,146
"146.car",TRUE,"car",3.6382398,17.992353,146
"146.carpool",FALSE,"carpool",0.39221496,26.811828,146
"146.rail",FALSE,"rail",2.0193783,27.848595,146
"147.bus",FALSE,"bus",1.5769926,29.778886,147
"147.car",FALSE,"car",6.5894971,43.101238,147
"147.carpool",FALSE,"carpool",1.9405572,47.816886,147
"147.rail",TRUE,"rail",1.8232347,15.13082,147
"148.bus",TRUE,"bus",1.3350436,17.054821,148
"148.car",FALSE,"car",7.2059661,60.348051,148
"148.carpool",FALSE,"carpool",0.70895151,62.803396,148
"148.rail",FALSE,"rail",1.6474079,36.361711,148
"149.bus",FALSE,"bus",2.2491823,31.476033,149
"149.car",TRUE,"car",4.0982273,41.167708,149
"149.carpool",FALSE,"carpool",0.95638968,47.06615,149
"149.rail",FALSE,"rail",2.0512726,33.29249,149
"150.bus",FALSE,"bus",2.6143513,43.715707,150
"150.car",FALSE,"car",5.8996115,60.877501,150
"150.carpool",FALSE,"carpool",1.397907,61.704084,150
"150.rail",TRUE,"rail",2.1937883,50.473411,150
"151.bus",TRUE,"bus",2.3570485,63.997309,151
"151.car",FALSE,"car",7.8877455,54.771936,151
"151.carpool",FALSE,"carpool",1.1160498,58.416793,151
"151.rail",FALSE,"rail",2.1758957,71.770009,151
"152.bus",FALSE,"bus",1.700374,1.9687113,152
"152.car",TRUE,"car",0.5865834,3.4824857,152
"152.carpool",FALSE,"carpool",0.48636355,11.988098,152
"152.rail",FALSE,"rail",2.2383778,24.332335,152
"153.bus",FALSE,"bus",2.1002037,46.464305,153
"153.car",FALSE,"car",6.2514576,56.913007,153
"153.carpool",FALSE,"carpool",1.9426128,58.653648,153
"153.rail",TRUE,"rail",2.2287071,47.531192,153
"154.bus",FALSE,"bus",2.73957,43.386064,154
"154.car",FALSE,"car",4.2918258,50.683447,154
"154.carpool",FALSE,"carpool",3.1403103,47.217073,154
"154.rail",TRUE,"rail",2.5880492,30.271568,154
"155.bus",FALSE,"bus",2.0286459,67.122061,155
"155.car",TRUE,"car",3.4999668,47.566075,155
"155.carpool",FALSE,"carpool",2.8654152,46.601685,155
"155.rail",FALSE,"rail",2.3037269,70.946262,155
"156.bus",FALSE,"bus",1.9757726,45.040421,156
"156.car",FALSE,"car",6.2950358,52.637329,156
"156.carpool",FALSE,"carpool",2.9118019,48.095749,156
"156.rail",TRUE,"rail",2.3570925,44.39218,156
"157.bus",FALSE,"bus",1.3214095,17.004609,157
"157.car",FALSE,"car",5.1673747,57.862512,157
"157.carpool",FALSE,"carpool",1.151109,54.39862,157
"157.rail",TRUE,"rail",1.7393518,18.66623,157
"158.bus",FALSE,"bus",2.1138548,63.273897,158
"158.car",FALSE,"car",7.6148269,49.306736,158
"158.carpool",FALSE,"carpool",1.7447943,47.15066,158
"158.rail",TRUE,"rail",2.5600332,69.970339,158
"159.bus",FALSE,"bus",1.6499475,16.577606,159
"159.car",FALSE,"car",6.384601,52.541934,159
"159.carpool",FALSE,"carpool",2.8332078,51.069861,159
"159.rail",TRUE,"rail",1.9804537,24.823931,159
"160.bus",FALSE,"bus",1.8083485,68.815683,160
"160.car",FALSE,"car",6.2414713,65.124289,160
"160.carpool",TRUE,"carpool",1.0310289,63.979845,160
"160.rail",FALSE,"rail",1.7400085,57.569601,160
"161.bus",FALSE,"bus",2.470606,61.81694,161
"161.car",FALSE,"car",4.2897038,59.333924,161
"161.carpool",FALSE,"carpool",2.8297822,55.854768,161
"161.rail",TRUE,"rail",2.6214966,48.792024,161
"162.bus",TRUE,"bus",2.4412016,29.323237,162
"162.car",FALSE,"car",5.6217498,52.141551,162
"162.carpool",FALSE,"carpool",0.331764,51.535233,162
"162.rail",FALSE,"rail",2.0441293,47.459351,162
"163.bus",FALSE,"bus",2.3180911,22.369954,163
"163.car",FALSE,"car",8.0398133,62.818893,163
"163.carpool",FALSE,"carpool",1.7879583,64.410936,163
"163.rail",TRUE,"rail",2.2792064,26.646501,163
"164.bus",FALSE,"bus",2.0608673,40.237705,164
"164.car",TRUE,"car",4.8796124,10.742732,164
"164.carpool",FALSE,"carpool",0.41610365,18.70994,164
"164.rail",FALSE,"rail",2.1267835,43.012252,164
"165.bus",FALSE,"bus",2.375928,47.67468,165
"165.car",TRUE,"car",3.3815741,52.998193,165
"165.carpool",FALSE,"carpool",1.2942133,50.560312,165
"165.rail",FALSE,"rail",1.9472356,28.731378,165
"166.bus",FALSE,"bus",1.5082365,21.193101,166
"166.car",FALSE,"car",5.3060603,59.351992,166
"166.carpool",FALSE,"carpool",0.74909134,59.485095,166
"166.rail",TRUE,"rail",1.61262,29.154579,166
"167.bus",FALSE,"bus",1.0930783,10.072881,167
"167.car",TRUE,"car",5.6331875,31.835793,167
"167.carpool",FALSE,"carpool",1.3908946,36.012462,167
"167.rail",FALSE,"rail",1.8454204,36.245815,167
"168.bus",TRUE,"bus",1.41606,16.928983,168
"168.car",FALSE,"car",6.3521486,36.482138,168
"168.carpool",FALSE,"carpool",1.5433729,34.920153,168
"168.rail",FALSE,"rail",1.7829818,42.087465,168
"169.bus",FALSE,"bus",2.2106068,60.560369,169
"169.car",TRUE,"car",2.3874867,33.480158,169
"169.carpool",FALSE,"carpool",1.1616681,31.881133,169
"169.rail",FALSE,"rail",1.9926334,39.836511,169
"170.bus",FALSE,"bus",2.4999506,51.931029,170
"170.car",TRUE,"car",6.0415273,37.774236,170
"170.carpool",FALSE,"carpool",0.26783787,37.22178,170
"170.rail",FALSE,"rail",2.6628399,59.48599,170
"171.bus",TRUE,"bus",2.3210779,20.76361,171
"171.car",FALSE,"car",7.2682363,42.297776,171
"171.carpool",FALSE,"carpool",0.9094705,41.175527,171
"171.rail",FALSE,"rail",2.0548933,49.221338,171
"172.bus",FALSE,"bus",2.6733147,69.441131,172
"172.car",FALSE,"car",8.0647412,52.67475,172
"172.carpool",FALSE,"carpool",1.9799737,53.874481,172
"172.rail",TRUE,"rail",2.7298101,58.005705,172
"173.bus",FALSE,"bus",1.568715,6.2807154,173
"173.car",TRUE,"car",3.817257,11.311738,173
"173.carpool",FALSE,"carpool",2.9937567,20.17227,173
"173.rail",FALSE,"rail",1.899297,28.527517,173
"174.bus",FALSE,"bus",2.3281303,49.991594,174
"174.car",FALSE,"car",4.4578386,62.901706,174
"174.carpool",FALSE,"carpool",1.048459,64.23604,174
"174.rail",TRUE,"rail",2.6926148,35.659244,174
"175.bus",FALSE,"bus",2.122768,20.818119,175
"175.car",FALSE,"car",5.5642899,53.702222,175
"175.carpool",FALSE,"carpool",0.71714109,51.03309,175
"175.rail",TRUE,"rail",2.4194972,34.369551,175
"176.bus",FALSE,"bus",1.6908765,33.554766,176
"176.car",FALSE,"car",7.2839543,48.176542,176
"176.carpool",FALSE,"carpool",3.2895353,51.967648,176
"176.rail",TRUE,"rail",1.5933856,23.633103,176
"177.bus",FALSE,"bus",2.6825126,67.357233,177
"177.car",TRUE,"car",4.4909915,45.753278,177
"177.carpool",FALSE,"carpool",2.5906839,51.601529,177
"177.rail",FALSE,"rail",2.3398546,40.101456,177
"178.bus",FALSE,"bus",2.3006076,32.213164,178
"178.car",TRUE,"car",2.5596752,36.656371,178
"178.carpool",FALSE,"carpool",0.23967547,38.057257,178
"178.rail",FALSE,"rail",2.4264824,42.623076,178
"179.bus",FALSE,"bus",2.0623427,34.788717,179
"179.car",FALSE,"car",3.8513265,17.58442,179
"179.carpool",FALSE,"carpool",1.9358214,25.3648,179
"179.rail",TRUE,"rail",1.8030486,34.099789,179
"180.bus",FALSE,"bus",2.4266801,40.773965,180
"180.car",TRUE,"car",4.1794241,18.404632,180
"180.carpool",FALSE,"carpool",1.7907678,25.880261,180
"180.rail",FALSE,"rail",2.5360346,37.190351,180
"181.bus",FALSE,"bus",1.6720198,20.821422,181
"181.car",TRUE,"car",5.2091618,22.24869,181
"181.carpool",FALSE,"carpool",0.43902562,26.478952,181
"181.rail",FALSE,"rail",2.3998403,47.251525,181
"182.bus",FALSE,"bus",2.2094559,41.678694,182
"182.car",TRUE,"car",2.3220534,17.899307,182
"182.carpool",FALSE,"carpool",1.7112011,23.599018,182
"182.rail",FALSE,"rail",2.4551947,45.830258,182
"183.bus",FALSE,"bus",1.012807,17.399053,183
"183.car",FALSE,"car",5.2063065,60.873582,183
"183.carpool",FALSE,"carpool",0.36446617,61.902051,183
"183.rail",TRUE,"rail",2.0598329,13.97911,183
"184.bus",FALSE,"bus",2.2809399,20.472341,184
"184.car",FALSE,"car",4.4555785,31.30927,184
"184.carpool",FALSE,"carpool",0.84162512,39.107007,184
"184.rail",TRUE,"rail",2.4321224,18.19146,184
"185.bus",FALSE,"bus",1.7174411,36.855903,185
"185.car",TRUE,"car",5.4368397,20.530008,185
"185.carpool",FALSE,"carpool",1.1059713,28.43589,185
"185.rail",FALSE,"rail",1.9384851,46.392018,185
"186.bus",FALSE,"bus",1.9162563,30.948836,186
"186.car",TRUE,"car",4.6197507,8.8836375,186
"186.carpool",FALSE,"carpool",2.5565128,20.549625,186
"186.rail",FALSE,"rail",2.1010006,32.661284,186
"187.bus",FALSE,"bus",1.9831868,62.254218,187
"187.car",FALSE,"car",8.3825731,63.999841,187
"187.carpool",FALSE,"carpool",2.9402085,59.217017,187
"187.rail",TRUE,"rail",2.6082869,48.330019,187
"188.bus",FALSE,"bus",2.1936233,58.710257,188
"188.car",FALSE,"car",7.3432208,62.608518,188
"188.carpool",FALSE,"carpool",1.3767293,60.076644,188
"188.rail",TRUE,"rail",1.850915,31.757151,188
"189.bus",TRUE,"bus",1.7950666,37.285392,189
"189.car",FALSE,"car",7.5161541,55.636977,189
"189.carpool",FALSE,"carpool",0.41996809,57.297446,189
"189.rail",FALSE,"rail",2.1909142,54.416024,189
"190.bus",FALSE,"bus",1.012559,17.718141,190
"190.car",FALSE,"car",4.5736248,7.1029839,190
"190.carpool",FALSE,"carpool",0.2208512,17.776265,190
"190.rail",TRUE,"rail",1.3712109,16.661163,190
"191.bus",FALSE,"bus",2.673277,43.926087,191
"191.car",TRUE,"car",6.7088819,56.642844,191
"191.carpool",FALSE,"carpool",0.80949397,59.78943,191
"191.rail",FALSE,"rail",2.9023359,48.336129,191
"192.bus",FALSE,"bus",2.6999316,52.805212,192
"192.car",TRUE,"car",3.7462884,27.863747,192
"192.carpool",FALSE,"carpool",1.7367446,31.582549,192
"192.rail",FALSE,"rail",2.7089715,56.468897,192
"193.bus",FALSE,"bus",1.1172741,15.733945,193
"193.car",TRUE,"car",3.0460336,5.3673125,193
"193.carpool",FALSE,"carpool",1.9527049,15.992015,193
"193.rail",FALSE,"rail",1.5242505,29.919065,193
"194.bus",FALSE,"bus",2.6336647,42.757644,194
"194.car",FALSE,"car",6.3216404,43.238547,194
"194.carpool",FALSE,"carpool",2.0966395,45.211608,194
"194.rail",TRUE,"rail",2.4125436,50.145963,194
"195.bus",FALSE,"bus",1.7715546,34.136556,195
"195.car",TRUE,"car",1.6596219,10.262578,195
"195.carpool",FALSE,"carpool",2.4616493,17.344831,195
"195.rail",FALSE,"rail",1.9628887,51.142084,195
"196.bus",TRUE,"bus",2.1469138,22.29994,196
"196.car",FALSE,"car",8.1641004,65.224086,196
"196.carpool",FALSE,"carpool",2.5313875,64.742554,196
"196.rail",FALSE,"rail",2.7045677,41.710883,196
"197.bus",TRUE,"bus",1.4172581,10.327367,197
"197.car",FALSE,"car",5.0932968,33.923242,197
"197.carpool",FALSE,"carpool",0.70837389,41.341693,197
"197.rail",FALSE,"rail",1.7101241,17.453136,197
"198.bus",FALSE,"bus",2.2538523,35.319601,198
"198.car",TRUE,"car",1.3474154,7.1579492,198
"198.carpool",FALSE,"carpool",2.0235076,11.191575,198
"198.rail",FALSE,"rail",1.978751,48.391999,198
"199.bus",FALSE,"bus",1.7618797,33.073851,199
"199.car",FALSE,"car",4.3227901,27.803041,199
"199.carpool",FALSE,"carpool",1.588321,32.058063,199
"199.rail",TRUE,"rail",1.6319871,18.590317,199
"200.bus",FALSE,"bus",1.5243382,19.785236,200
"200.car",TRUE,"car",3.9344053,33.917938,200
"200.carpool",FALSE,"carpool",1.264762,32.206831,200
"200.rail",FALSE,"rail",1.8466517,21.85339,200
"201.bus",FALSE,"bus",1.7191106,23.882192,201
"201.car",TRUE,"car",2.9241521,17.769969,201
"201.carpool",FALSE,"carpool",0.19714691,28.077288,201
"201.rail",FALSE,"rail",1.8260889,25.406838,201
"202.bus",TRUE,"bus",1.2911756,13.992665,202
"202.car",FALSE,"car",5.2240991,55.168955,202
"202.carpool",FALSE,"carpool",2.9091093,58.71303,202
"202.rail",FALSE,"rail",2.0740279,40.026799,202
"203.bus",FALSE,"bus",2.0046118,44.68953,203
"203.car",FALSE,"car",7.1172829,62.209395,203
"203.carpool",FALSE,"carpool",1.4472237,64.71575,203
"203.rail",TRUE,"rail",2.2621132,28.14349,203
"204.bus",FALSE,"bus",2.3629466,22.847053,204
"204.car",TRUE,"car",1.2675429,4.8196895,204
"204.carpool",FALSE,"carpool",1.9987058,16.832578,204
"204.rail",FALSE,"rail",2.8408297,23.537382,204
"205.bus",FALSE,"bus",1.4838781,3.0851393,205
"205.car",TRUE,"car",3.7701709,5.971668,205
"205.carpool",FALSE,"carpool",0.33280399,18.9217,205
"205.rail",FALSE,"rail",1.8984443,26.388561,205
"206.bus",FALSE,"bus",2.0999562,48.808293,206
"206.car",TRUE,"car",0.55639466,2.9812044,206
"206.carpool",FALSE,"carpool",2.5539199,15.580142,206
"206.rail",FALSE,"rail",2.2347011,47.147245,206
"207.bus",FALSE,"bus",1.8577642,62.636375,207
"207.car",TRUE,"car",5.6360666,66.649217,207
"207.carpool",FALSE,"carpool",3.1596335,60.431503,207
"207.rail",FALSE,"rail",2.403152,57.447665,207
"208.bus",FALSE,"bus",2.153217,49.969904,208
"208.car",TRUE,"car",4.167031,25.669744,208
"208.carpool",FALSE,"carpool",1.9448357,29.544243,208
"208.rail",FALSE,"rail",2.1448838,43.101301,208
"209.bus",FALSE,"bus",1.7722201,40.979459,209
"209.car",FALSE,"car",6.0677956,58.520649,209
"209.carpool",TRUE,"carpool",1.541452,55.085398,209
"209.rail",FALSE,"rail",1.8989641,25.395931,209
"210.bus",FALSE,"bus",1.9290968,44.46164,210
"210.car",TRUE,"car",5.1285392,25.079076,210
"210.carpool",FALSE,"carpool",1.3622016,28.908168,210
"210.rail",FALSE,"rail",1.7617001,45.721532,210
"211.bus",FALSE,"bus",1.8538232,35.069788,211
"211.car",FALSE,"car",6.9167884,65.578482,211
"211.carpool",FALSE,"carpool",1.378066,64.007614,211
"211.rail",TRUE,"rail",2.2495105,24.772562,211
"212.bus",FALSE,"bus",2.237758,32.291085,212
"212.car",FALSE,"car",5.556891,59.775999,212
"212.carpool",FALSE,"carpool",2.5549805,55.598055,212
"212.rail",TRUE,"rail",2.056321,25.722339,212
"213.bus",FALSE,"bus",2.3142949,38.637067,213
"213.car",TRUE,"car",3.4354453,32.425308,213
"213.carpool",FALSE,"carpool",0.41127029,35.017766,213
"213.rail",FALSE,"rail",1.9080309,46.835954,213
"214.bus",FALSE,"bus",2.1743391,48.572748,214
"214.car",FALSE,"car",5.0910527,57.458806,214
"214.carpool",FALSE,"carpool",0.20432482,57.953408,214
"214.rail",TRUE,"rail",2.7163089,28.862821,214
"215.bus",FALSE,"bus",1.9478556,53.097889,215
"215.car",TRUE,"car",6.0663921,42.042887,215
"215.carpool",FALSE,"carpool",0.3355744,46.536988,215
"215.rail",FALSE,"rail",2.4598933,45.846469,215
"216.bus",FALSE,"bus",2.6304619,68.41276,216
"216.car",TRUE,"car",3.6610243,38.274892,216
"216.carpool",FALSE,"carpool",1.3786871,43.969596,216
"216.rail",FALSE,"rail",2.144453,55.500708,216
"217.bus",TRUE,"bus",1.6274957,33.457873,217
"217.car",FALSE,"car",3.6772817,31.572493,217
"217.carpool",FALSE,"carpool",2.3642217,38.758056,217
"217.rail",FALSE,"rail",2.0566776,47.241582,217
"218.bus",FALSE,"bus",1.7525924,54.226293,218
"218.car",TRUE,"car",4.9440697,61.932999,218
"218.carpool",FALSE,"carpool",1.9226319,60.738087,218
"218.rail",FALSE,"rail",2.2416995,58.218744,218
"219.bus",FALSE,"bus",2.1025312,60.477937,219
"219.car",TRUE,"car",2.6913003,7.8551628,219
"219.carpool",FALSE,"carpool",1.619107,12.339054,219
"219.rail",FALSE,"rail",1.9622342,44.009625,219
"220.bus",FALSE,"bus",1.9655407,44.79145,220
"220.car",FALSE,"car",3.8049514,47.280143,220
"220.carpool",FALSE,"carpool",1.5514891,52.083171,220
"220.rail",TRUE,"rail",1.8395076,33.371661,220
"221.bus",FALSE,"bus",1.8226645,68.100219,221
"221.car",TRUE,"car",6.7276976,42.629912,221
"221.carpool",FALSE,"carpool",0.96566528,42.729695,221
"221.rail",FALSE,"rail",1.8100342,43.811631,221
"222.bus",FALSE,"bus",1.676458,36.340682,222
"222.car",TRUE,"car",4.4000646,11.455633,222
"222.carpool",FALSE,"carpool",1.056032,23.438901,222
"222.rail",FALSE,"rail",1.9727459,43.877146,222
"223.bus",FALSE,"bus",2.7256832,54.969251,223
"223.car",FALSE,"car",5.7097248,54.538983,223
"223.carpool",FALSE,"carpool",0.84436053,52.823413,223
"223.rail",TRUE,"rail",2.9562838,57.016172,223
"224.bus",FALSE,"bus",2.0295688,40.786928,224
"224.car",TRUE,"car",3.0352277,37.497321,224
"224.carpool",FALSE,"carpool",2.8566243,43.601724,224
"224.rail",FALSE,"rail",1.9912715,28.011297,224
"225.bus",FALSE,"bus",1.489407,15.608826,225
"225.car",FALSE,"car",6.4755904,25.504195,225
"225.carpool",FALSE,"carpool",2.0788094,29.321712,225
"225.rail",TRUE,"rail",1.4546815,9.6822778,225
"226.bus",FALSE,"bus",2.1570729,50.479773,226
"226.car",TRUE,"car",3.033785,32.170707,226
"226.carpool",FALSE,"carpool",0.74151298,35.00799,226
"226.rail",FALSE,"rail",2.0966203,27.719698,226
"227.bus",FALSE,"bus",1.9760338,42.065283,227
"227.car",TRUE,"car",0.64766871,4.1800951,227
"227.carpool",FALSE,"carpool",2.1805666,13.374969,227
"227.rail",FALSE,"rail",2.2763539,58.970994,227
"228.bus",FALSE,"bus",1.82966,46.515087,228
"228.car",TRUE,"car",5.7768466,20.132348,228
"228.carpool",FALSE,"carpool",1.0858888,30.496052,228
"228.rail",FALSE,"rail",1.7597636,49.433395,228
"229.bus",FALSE,"bus",1.8011337,32.869148,229
"229.car",FALSE,"car",7.2324839,53.120258,229
